,new.fname,mean,median,gt.10,gt.20
159,z0195681_Mnov_MS51_n0028306,0.467391304,0,1,0
161,z0195684_Mnov_MS51_n0028308,0.622282609,0,2,1
162,z0195685_Mnov_MS51_n0028309,0.516304348,0,1,0
163,z0195686_Mnov_MS51_n0028310,0.516304348,0,0,0
164,z0195686_Mnov_MS51_n0028368,0.1875,0,0,0
166,z0195690_Mnov_MS51_n0028596,0.426630435,0,0,0
167,z0195693_Mnov_MS51_n0028312,0.77173913,0,1,1
168,z0195695_Mnov_MS51_n0028313,0.355978261,0,0,0
200,z0195750_Mnov_MS51_n0028340,0.168478261,0,1,0
201,z0195755_Mnov_MS51_n0028341,0.277173913,0,1,1
202,z0195756_Mnov_MS51_n0028342,0.671195652,0,1,1
203,z0195757_Mnov_MS51_n0028343,0.211956522,0,1,0
204,z0195758_Mnov_MS51_n0028599,0.8125,0,1,0
206,z0195761_Mnov_MS51_n0028345,0.095108696,0,0,0
207,z0195763_Mnov_MS51_n0028346,0.035326087,0,0,0
208,z0195766_Mnov_MS51_n0028347,0.095108696,0,0,0
209,z0195769_Mnov_MS51_n0028348,0.111413043,0,0,0
210,z0195769_Mnov_MS51_n0028371,0.35326087,0,1,1
211,z0195770_Mnov_MS51_n0028349,0.217391304,0,1,1
215,z0195775_Mnov_MS51_n0028353,0.586956522,0,1,1
218,z0195778_Mnov_MS51_n0028356,1.138586957,0,1,1
219,z0195779_Mnov_MS51_n0028357,0.108695652,0,0,0
220,z0195779_Mnov_MS51_n0028372,0.220108696,0,1,0
224,z0195786_Mnov_MS51_n0028361,0.184782609,0,1,0
226,z0195791_Mnov_MS51_n0028363,0.089673913,0,0,0
277,z0196792_Mnov_MS51_n0028602,2.828804348,0,2,1
283,z0196805_Mnov_MS51_n0028413,0.331521739,0,0,0
285,z0196810_Mnov_MS51_n0028548,0.798913043,0,1,1
297,z0196839_Mnov_MS51_n0028421,0.108695652,0,0,0
298,z0196839_Mnov_MS51_n0028464,0.244565217,0,0,0
299,z0196840_Mnov_MS51_n0028422,0.595108696,0,1,1
303,z0196846_Mnov_MS51_n0028426,0.394021739,0,0,0
306,z0196850_Mnov_MS51_n0028429,0.22826087,0,1,1
320,z0196889_Mnov_MS51_n0028442,0.355978261,0,1,0
321,z0196889_Mnov_MS51_n0028466,0.29076087,0,0,0
324,z0196895_Mnov_MS51_n0028445,0.269021739,0,0,0
330,z0197664_Mnov_MS51_n0028607,2.793478261,0,2,1
333,z0197671_Mnov_MS51_n0028467,3.763586957,0,1,1
336,z0197682_Mnov_MS51_n0028608,0.741847826,0,0,0
28,z0045401_Mnov_MS51_n0028476,3.22826087,1,19,1
53,z0053757_Mnov_MS51_n0028558,1.847826087,1,1,1
61,z0053846_Mnov_MS51_n0028497,1.964673913,1,1,1
69,z0056380_Mnov_MS51_n0028504,3.260869565,1,3,1
111,z0178294_Mnov_MS51_n0028532,1.788043478,1,1,1
115,z0187811_Mnov_MS51_n0028591,2.608695652,1,16,2
143,z0195664_Mnov_MS51_n0028291,1.274456522,1,1,1
144,z0195665_Mnov_MS51_n0028292,1.133152174,1,1,1
148,z0195670_Mnov_MS51_n0028296,1.190217391,1,1,1
154,z0195675_Mnov_MS51_n0028301,1.888586957,1,3,1
156,z0195678_Mnov_MS51_n0028303,1.483695652,1,2,1
160,z0195682_Mnov_MS51_n0028307,1.986413043,1,1,1
217,z0195777_Mnov_MS51_n0028355,2.255434783,1,6,1
301,z0196844_Mnov_MS51_n0028424,2.14673913,1,9,1
307,z0196851_Mnov_MS51_n0028430,2.032608696,1,7,1
8,z0029846_Mnov_MS51_n0028468,2.423913043,2,2,1
39,z0051405_Mnov_MS51_n0028572,2.845108696,2,4,0
49,z0053055_Mnov_MS51_n0028578,7.369565217,2,56,20
51,z0053756_Mnov_MS51_n0028488,4.410326087,2,16,3
57,z0053842_Mnov_MS51_n0028493,10.7798913,2,72,36
83,z0061976_Mnov_MS51_n0028518,2.698369565,2,3,0
100,z0108513_Mnov_MS51_n0028526,3.964673913,2,16,2
132,z0195647_Mnov_MS51_n0028282,1.877717391,2,2,0
184,z0195721_Mnov_MS51_n0028326,2.760869565,2,5,1
205,z0195759_Mnov_MS51_n0028344,3.480978261,2,14,2
214,z0195773_Mnov_MS51_n0028352,5.184782609,2,32,4
216,z0195776_Mnov_MS51_n0028354,3.616847826,2,10,1
221,z0195780_Mnov_MS51_n0028358,3.127717391,2,8,1
225,z0195787_Mnov_MS51_n0028362,3.616847826,2,11,1
296,z0196838_Mnov_MS51_n0028550,4.657608696,2,11,1
319,z0196888_Mnov_MS51_n0028441,3.695652174,2,11,1
29,z0045792_Mnov_MS51_n0028477,8.35326087,3,54,17
123,z0187868_Mnov_MS51_n0028611,8.010869565,3,63,13
127,z0195643_Mnov_MS51_n0028278,4.317934783,3,42,0
139,z0195657_Mnov_MS51_n0028288,7.02173913,3,61,13
140,z0195659_Mnov_MS51_n0028289,6.951086957,3,56,9
151,z0195673_Mnov_MS51_n0028299,6.217391304,3,53,5
212,z0195771_Mnov_MS51_n0028350,7.214673913,3,61,9
222,z0195781_Mnov_MS51_n0028359,5.470108696,3,27,6
286,z0196811_Mnov_MS51_n0028549,12.5951087,3,82,36
34,z0051328_Mnov_MS51_n0028481,5.864130435,4,74,11
137,z0195653_Mnov_MS51_n0028365,5.135869565,4,43,3
304,z0196847_Mnov_MS51_n0028427,6.184782609,4,54,6
322,z0196891_Mnov_MS51_n0028443,7.861413043,4,78,11
325,z0197658_Mnov_MS51_n0028606,15.74728261,4,127,72
60,z0053845_Mnov_MS51_n0028496,5.904891304,5,68,4
