LABID,prod,val,MS43,MS45,MS51,MS54,times.run,genos.10readsMin,genos.20readsMin
z0196768,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,325,318
z0196831,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,325,320
z0197665,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,325,322
z0040357,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,324,311
z0041233,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,324,314
z0043526,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,324,316
z0045399,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,324,322
z0051327,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,324,315
z0051947,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,324,315
z0053073,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,324,319
z0055999,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,324,317
z0175371,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,3,324,322
z0196693,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,324,318
z0196694,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,324,320
z0196713,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,324,310
z0196730,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,324,317
z0196744,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,324,318
z0196761,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,324,315
z0196762,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,324,317
z0196858,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,324,301
z0043966,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,323,309
z0044042,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,323,314
z0045331,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,4,323,310
z0045788,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,323,310
z0051324,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,323,306
z0051893,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,323,313
z0055998,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,323,311
z0056029,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,323,314
z0175950,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,323,311
z0178296,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,323,317
z0195696,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,323,316
z0196746,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,323,317
z0196778,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,323,319
z0196793,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,323,310
z0196865,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,323,321
z0029864,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,322,301
z0049019,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,322,319
z0053142,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,322,315
z0195697,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,322,309
z0040337,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,321,311
z0043876,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,321,304
z0045333,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,321,307
z0045337,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,321,310
z0051968,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,321,304
z0055931,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,4,321,313
z0055944,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,321,313
z0056059,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,321,299
z0056063,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,321,316
z0056076,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,321,313
z0195729,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,321,311
z0196740,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,321,292
z0196759,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,321,316
z0196773,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,321,311
z0197667,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,321,307
z0041115,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,320,308
z0045405,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,3,320,309
z0051899,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,320,306
z0053054,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,320,306
z0053844,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,320,296
z0055971,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,320,301
z0055977,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,320,306
z0196737,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,320,311
z0196750,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,320,305
z0045791,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,319,312
z0053040,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,319,308
z0053843,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,319,306
z0055990,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,319,305
z0056058,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,319,312
z0195701,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,319,298
z0195731,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,319,295
z0196795,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,319,308
z0197658,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,319,313
z0041480,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,318,294
z0051885,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,318,299
z0196711,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,318,307
z0196830,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,318,294
z0101084,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,317,301
z0040275,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,316,297
z0040961,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,316,287
z0041527,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,316,275
z0043504,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,316,302
