"","Sample","Plate","Row","Column","LABID","Miseq.num","fname2","tot.reads","tot.aligned.reads","median.aligned.reads.per.loc","gt.10.aligned","gt.20.aligned","pct.on.target"
"327","z0196764_S327_L001_R1.fastq.gz",7,"G",1,"z0196764",327,"",333059,281749,612.5,360,357,0.845943211262869
"328","z0196766_S328_L001_R1.fastq.gz",7,"H",1,"z0196766",328,"",257773,217201,536,363,361,0.84260570346778
"329","z0196769_S329_L001_R1.fastq.gz",7,"A",2,"z0196769",329,"",1053501,970946,2199,366,363,0.921637473528739
"330","z0196774_S330_L001_R1.fastq.gz",7,"B",2,"z0196774",330,"",173404,158776,353,359,353,0.915642084380983
"331","z0196809_S331_L001_R1.fastq.gz",7,"C",2,"z0196809",331,"",35406,27282,43,305,264,0.770547364853415
"332","z0196824_S332_L001_R1.fastq.gz",7,"D",2,"z0196824",332,"",183781,174030,386,359,356,0.946942284566957
"333","z0196825_S333_L001_R1.fastq.gz",7,"E",2,"z0196825",333,"",105290,98953,161.5,349,334,0.939813847468895
"334","z0196829_S334_L001_R1.fastq.gz",7,"F",2,"z0196829",334,"",7174,3889,7,118,36,0.542096459436855
"335","z0196834_S335_L001_R1.fastq.gz",7,"G",2,"z0196834",335,"",8409,3392,6,106,22,0.403377333809014
"336","z0196835_S336_L001_R1.fastq.gz",7,"H",2,"z0196835",336,"",233310,218390,496,360,356,0.936050747931936
"337","z0196841_S337_L001_R1.fastq.gz",7,"A",3,"z0196841",337,"",3290,1600,3,37,2,0.486322188449848
"338","z0196843_S338_L001_R1.fastq.gz",7,"B",3,"z0196843",338,"",13260,4986,8,150,49,0.376018099547511
"339","z0196849_S339_L001_R1.fastq.gz",7,"C",3,"z0196849",339,"",113746,108418,234.5,355,346,0.953158792397095
"340","z0196856_S340_L001_R1.fastq.gz",7,"D",3,"z0196856",340,"",96099,91023,193,354,345,0.947179471170356
"341","z0196864_S341_L001_R1.fastq.gz",7,"E",3,"z0196864",341,"",110848,105547,216.5,355,346,0.952177756928406
"342","z0196890_S342_L001_R1.fastq.gz",7,"F",3,"z0196890",342,"",1551,603,1,1,1,0.388781431334623
"343","z0196894_S343_L001_R1.fastq.gz",7,"G",3,"z0196894",343,"",94726,89473,157.5,340,326,0.944545320186644
"344","z0197663_S344_L001_R1.fastq.gz",7,"H",3,"z0197663",344,"",52779,41964,73,335,307,0.795088955834707
"345","z0197668_S345_L001_R1.fastq.gz",7,"A",4,"z0197668",345,"",40087,37372,65,305,271,0.932272307730686
