"","locus","num.haps","genos"
"126","Mnov_gtseq_281",2,393
"127","Mnov_gtseq_283",3,18
"128","Mnov_gtseq_284",2,455
"129","Mnov_gtseq_285",2,433
"130","Mnov_gtseq_287",2,451
"131","Mnov_gtseq_288",2,324
"132","Mnov_gtseq_289",2,417
"133","Mnov_gtseq_297",2,447
"134","Mnov_gtseq_298",2,91
"135","Mnov_gtseq_299",2,349
"136","Mnov_gtseq_30",3,327
"137","Mnov_gtseq_300",3,441
"138","Mnov_gtseq_301",3,278
"139","Mnov_gtseq_304",2,201
"140","Mnov_gtseq_305",2,307
"141","Mnov_gtseq_307",2,336
"142","Mnov_gtseq_308",2,426
"143","Mnov_gtseq_309",3,340
"144","Mnov_gtseq_310",2,274
"145","Mnov_gtseq_311",2,367
"146","Mnov_gtseq_312",2,391
"147","Mnov_gtseq_313",2,404
"148","Mnov_gtseq_314",2,410
"149","Mnov_gtseq_315",2,373
"150","Mnov_gtseq_317",2,54
"151","Mnov_gtseq_318",2,162
"152","Mnov_gtseq_320",2,301
"153","Mnov_gtseq_321",2,447
"154","Mnov_gtseq_322",2,382
"155","Mnov_gtseq_323",2,420
"156","Mnov_gtseq_324",2,32
"157","Mnov_gtseq_326",2,356
"158","Mnov_gtseq_327",2,356
"159","Mnov_gtseq_328",2,438
"160","Mnov_gtseq_33",2,440
"161","Mnov_gtseq_332",2,308
"162","Mnov_gtseq_333",2,222
"163","Mnov_gtseq_334",2,413
"164","Mnov_gtseq_335",2,437
"165","Mnov_gtseq_337",3,195
"166","Mnov_gtseq_338",3,368
"167","Mnov_gtseq_339",2,408
"168","Mnov_gtseq_340",2,369
"169","Mnov_gtseq_341",2,443
"170","Mnov_gtseq_342",2,100
"171","Mnov_gtseq_344",2,413
"172","Mnov_gtseq_345",2,411
"173","Mnov_gtseq_347",2,372
"174","Mnov_gtseq_350",2,114
"175","Mnov_gtseq_352",2,294
"176","Mnov_gtseq_353",2,369
"177","Mnov_gtseq_354",2,211
"178","Mnov_gtseq_355",2,80
"179","Mnov_gtseq_356",2,375
"180","Mnov_gtseq_357",2,290
"181","Mnov_gtseq_359",2,166
"182","Mnov_gtseq_360",2,240
"183","Mnov_gtseq_361",2,207
"184","Mnov_gtseq_363",2,412
"185","Mnov_gtseq_364",2,111
"186","Mnov_gtseq_366",2,294
"187","Mnov_gtseq_368",2,184
"188","Mnov_gtseq_37",2,407
"189","Mnov_gtseq_370",2,321
"190","Mnov_gtseq_371",2,238
"191","Mnov_gtseq_372",2,287
"192","Mnov_gtseq_373",2,303
"193","Mnov_gtseq_374",2,17
"194","Mnov_gtseq_377",2,313
"195","Mnov_gtseq_378",2,357
"196","Mnov_gtseq_379",2,363
"197","Mnov_gtseq_38",2,437
"198","Mnov_gtseq_380",2,376
"199","Mnov_gtseq_383",2,287
"200","Mnov_gtseq_384",2,96
"201","Mnov_gtseq_386",2,197
"202","Mnov_gtseq_388",2,69
"203","Mnov_gtseq_39",2,447
"204","Mnov_gtseq_390",2,253
"205","Mnov_gtseq_391",2,83
"206","Mnov_gtseq_394",2,169
"207","Mnov_gtseq_397",2,217
"208","Mnov_gtseq_398",2,362
"209","Mnov_gtseq_399",2,358
"210","Mnov_gtseq_40",2,409
"211","Mnov_gtseq_400",2,153
"212","Mnov_gtseq_401",2,385
"213","Mnov_gtseq_402",2,356
"214","Mnov_gtseq_405",2,205
"215","Mnov_gtseq_406",2,351
"216","Mnov_gtseq_407",2,196
"217","Mnov_gtseq_41",2,391
"218","Mnov_gtseq_410",2,229
"219","Mnov_gtseq_413",2,387
"220","Mnov_gtseq_415",2,365
"221","Mnov_gtseq_416",2,470
"222","Mnov_gtseq_417",2,87
"223","Mnov_gtseq_42",2,443
"224","Mnov_gtseq_421",3,125
"225","Mnov_gtseq_424",2,411
