,Sample,Plate,Row,Column,LABID,Miseq.num,tot.reads,tot.aligned.reads,median.aligned.reads.per.loc,gt.10.aligned,gt.20.aligned,well,% on target
318,z0187859_Mnov_MS51_n0028594_R1.fastq.gz,8,F,4,z0187859,28594,13602,11660,18,241,175,F4,0.857
236,z0056394_Mnov_MS51_n0028512_R1.fastq.gz,3,D,6,z0056394,28512,208101,178530,473.5,359,357,D6,0.858
255,z0175937_Mnov_MS51_n0028531_R1.fastq.gz,3,G,8,z0175937,28531,40916,35177,94,356,339,G8,0.860
293,z0045358_Mnov_MS51_n0028569_R1.fastq.gz,8,E,1,z0045358,28569,115942,100101,229,355,351,E1,0.863
307,z0108480_Mnov_MS51_n0028583_R1.fastq.gz,8,C,3,z0108480,28583,103905,89739,220.5,357,348,C3,0.864
253,z0175912_Mnov_MS51_n0028529_R1.fastq.gz,3,E,8,z0175912,28529,2253,1959,5,44,0,E8,0.870
251,z0133302_Mnov_MS51_n0028527_R1.fastq.gz,3,C,8,z0133302,28527,35619,30987,60,333,293,C8,0.870
245,z0066805_Mnov_MS51_n0028521_R1.fastq.gz,3,E,7,z0066805,28521,300,261,0,0,0,E7,0.870
280,z0045350_Mnov_MS51_n0028556_R1.fastq.gz,3,H,11,z0045350,28556,55356,48218,133,359,353,H11,0.871
94,z0195742_Mnov_MS51_n0028370_R1.fastq.gz,1,F,12,z0195742,28370,190275,165753,408,366,360,F12,0.871
284,z0066792_Mnov_MS51_n0028560_R1.fastq.gz,3,D,12,z0066792,28560,68845,60226,145,359,347,D12,0.875
301,z0051968_Mnov_MS51_n0028577_R1.fastq.gz,8,E,2,z0051968,28577,145516,127333,230,354,335,E2,0.875
193,z0037624_Mnov_MS51_n0028469_R1.fastq.gz,3,A,1,z0037624,28469,18737,16629,22,245,189,A1,0.887
97,z0196707_Mnov_MS51_n0028373_R1.fastq.gz,2,A,1,z0196707,28373,97269,86465,223,362,357,A1,0.889
279,z0040363_Mnov_MS51_n0028555_R1.fastq.gz,3,G,11,z0040363,28555,27877,24796,46,325,278,G11,0.889
204,z0051326_Mnov_MS51_n0028480_R1.fastq.gz,3,D,2,z0051326,28480,20954,18646,35,292,238,D2,0.890
102,z0196721_Mnov_MS51_n0028378_R1.fastq.gz,2,F,1,z0196721,28378,46215,41306,87,347,321,F1,0.894
265,z0196733_Mnov_MS51_n0028541_R1.fastq.gz,3,A,10,z0196733,28541,17748,15866,23,262,205,A10,0.894
263,z0195726_Mnov_MS51_n0028539_R1.fastq.gz,3,G,9,z0195726,28539,29393,26310,45,313,253,G9,0.895
249,z0108489_Mnov_MS51_n0028525_R1.fastq.gz,3,A,8,z0108489,28525,39908,35748,53,302,261,A8,0.896
