"","locus","num.haps","genos"
"112","Mnov_gtseq_262",2,14
"113","Mnov_gtseq_263",2,17
"114","Mnov_gtseq_265",2,19
"115","Mnov_gtseq_268",2,18
"116","Mnov_gtseq_269",2,18
"117","Mnov_gtseq_270",2,14
"118","Mnov_gtseq_271",2,15
"119","Mnov_gtseq_273",2,16
"120","Mnov_gtseq_274",2,18
"121","Mnov_gtseq_275",2,9
"122","Mnov_gtseq_277",2,19
"123","Mnov_gtseq_278",2,18
"124","Mnov_gtseq_28",2,19
"125","Mnov_gtseq_281",2,16
"126","Mnov_gtseq_283",2,16
"127","Mnov_gtseq_284",2,19
"128","Mnov_gtseq_285",2,19
"129","Mnov_gtseq_287",2,19
"130","Mnov_gtseq_288",2,11
"131","Mnov_gtseq_289",2,18
"132","Mnov_gtseq_297",2,19
"133","Mnov_gtseq_298",2,5
"134","Mnov_gtseq_299",2,19
"135","Mnov_gtseq_30",2,5
"136","Mnov_gtseq_300",2,19
"137","Mnov_gtseq_301",3,12
"138","Mnov_gtseq_304",2,8
"139","Mnov_gtseq_305",2,14
"140","Mnov_gtseq_307",2,13
"141","Mnov_gtseq_308",2,18
"142","Mnov_gtseq_309",3,17
"143","Mnov_gtseq_310",2,12
"144","Mnov_gtseq_311",2,13
"145","Mnov_gtseq_312",2,17
"146","Mnov_gtseq_313",2,16
"147","Mnov_gtseq_314",2,18
"148","Mnov_gtseq_315",2,19
"149","Mnov_gtseq_317",2,10
"150","Mnov_gtseq_318",2,19
"151","Mnov_gtseq_320",2,13
"152","Mnov_gtseq_321",2,19
"153","Mnov_gtseq_322",2,16
"154","Mnov_gtseq_323",2,18
"155","Mnov_gtseq_324",1,2
"156","Mnov_gtseq_326",2,15
"157","Mnov_gtseq_327",2,16
"158","Mnov_gtseq_328",2,19
"159","Mnov_gtseq_33",2,19
"160","Mnov_gtseq_332",2,17
"161","Mnov_gtseq_333",2,18
"162","Mnov_gtseq_334",2,19
"163","Mnov_gtseq_335",2,19
"164","Mnov_gtseq_337",3,12
"165","Mnov_gtseq_338",2,17
"166","Mnov_gtseq_339",2,17
"167","Mnov_gtseq_340",2,14
"168","Mnov_gtseq_341",2,19
"169","Mnov_gtseq_342",2,13
"170","Mnov_gtseq_344",2,18
"171","Mnov_gtseq_345",2,19
"172","Mnov_gtseq_347",2,17
"173","Mnov_gtseq_350",2,3
"174","Mnov_gtseq_352",2,14
"175","Mnov_gtseq_353",2,13
"176","Mnov_gtseq_354",2,6
"177","Mnov_gtseq_355",1,1
"178","Mnov_gtseq_356",2,15
"179","Mnov_gtseq_357",2,15
"180","Mnov_gtseq_359",2,7
"181","Mnov_gtseq_360",1,6
"182","Mnov_gtseq_361",2,12
"183","Mnov_gtseq_363",2,19
"184","Mnov_gtseq_364",2,14
"185","Mnov_gtseq_366",2,18
"186","Mnov_gtseq_368",2,5
"187","Mnov_gtseq_37",2,17
"188","Mnov_gtseq_370",2,18
"189","Mnov_gtseq_371",2,6
"190","Mnov_gtseq_372",2,17
"191","Mnov_gtseq_373",2,7
"192","Mnov_gtseq_374",2,15
"193","Mnov_gtseq_376",1,14
"194","Mnov_gtseq_377",2,12
"195","Mnov_gtseq_378",2,18
"196","Mnov_gtseq_379",2,18
"197","Mnov_gtseq_38",2,18
"198","Mnov_gtseq_380",2,15
"199","Mnov_gtseq_383",2,15
"200","Mnov_gtseq_384",2,18
"201","Mnov_gtseq_386",2,9
"202","Mnov_gtseq_388",2,2
"203","Mnov_gtseq_39",2,19
"204","Mnov_gtseq_390",2,15
"205","Mnov_gtseq_391",1,12
"206","Mnov_gtseq_394",2,19
"207","Mnov_gtseq_397",2,19
"208","Mnov_gtseq_398",2,16
"209","Mnov_gtseq_399",2,19
"210","Mnov_gtseq_40",2,18
"211","Mnov_gtseq_400",2,10
"212","Mnov_gtseq_401",2,18
"213","Mnov_gtseq_402",2,16
"214","Mnov_gtseq_405",2,19
"215","Mnov_gtseq_406",2,12
"216","Mnov_gtseq_407",2,17
"217","Mnov_gtseq_41",2,17
"218","Mnov_gtseq_410",2,14
"219","Mnov_gtseq_413",2,19
"220","Mnov_gtseq_415",2,13
"221","Mnov_gtseq_416",2,19
"222","Mnov_gtseq_417",2,10
"223","Mnov_gtseq_42",2,19
"224","Mnov_gtseq_420",2,12
"225","Mnov_gtseq_421",3,8
"226","Mnov_gtseq_424",2,18
"227","Mnov_gtseq_426",2,19
"228","Mnov_gtseq_43",2,19
"229","Mnov_gtseq_431",2,5
"230","Mnov_gtseq_434",2,19
"231","Mnov_gtseq_438",2,8
"232","Mnov_gtseq_44",2,12
"233","Mnov_gtseq_440",2,18
"234","Mnov_gtseq_441",2,18
"235","Mnov_gtseq_442",2,8
"236","Mnov_gtseq_444",2,18
