"","Sample","tot.reads","Plate","Row","Column","LABID","Miseq.num"
"189","z0195730_Mnov_MS51_n0028330_R1.fastq.gz",163218,1,"F",7,"z0195730",28330
"190","z0195733_Mnov_MS51_n0028331_R1.fastq.gz",196319,1,"G",7,"z0195733",28331
"191","z0195735_Mnov_MS51_n0028332_R1.fastq.gz",239163,1,"H",7,"z0195735",28332
"192","z0195736_Mnov_MS51_n0028333_R1.fastq.gz",9558,1,"A",8,"z0195736",28333
"193","z0195738_Mnov_MS51_n0028334_R1.fastq.gz",177683,1,"B",8,"z0195738",28334
"194","z0195739_Mnov_MS51_n0028335_R1.fastq.gz",75379,1,"C",8,"z0195739",28335
"195","z0195741_Mnov_MS51_n0028336_R1.fastq.gz",109184,1,"D",8,"z0195741",28336
"196","z0195742_Mnov_MS51_n0028337_R1.fastq.gz",381132,1,"E",8,"z0195742",28337
"197","z0195742_Mnov_MS51_n0028370_R1.fastq.gz",190275,1,"F",12,"z0195742",28370
"198","z0195743_Mnov_MS51_n0028338_R1.fastq.gz",185875,1,"F",8,"z0195743",28338
"199","z0195748_Mnov_MS51_n0028339_R1.fastq.gz",221627,1,"G",8,"z0195748",28339
"200","z0195750_Mnov_MS51_n0028340_R1.fastq.gz",1095,1,"H",8,"z0195750",28340
"201","z0195755_Mnov_MS51_n0028341_R1.fastq.gz",1644,1,"A",9,"z0195755",28341
"202","z0195756_Mnov_MS51_n0028342_R1.fastq.gz",1685,1,"B",9,"z0195756",28342
"203","z0195757_Mnov_MS51_n0028343_R1.fastq.gz",779,1,"C",9,"z0195757",28343
"204","z0195758_Mnov_MS51_n0028599_R1.fastq.gz",886,8,"C",5,"z0195758",28599
"205","z0195759_Mnov_MS51_n0028344_R1.fastq.gz",3449,1,"D",9,"z0195759",28344
"206","z0195761_Mnov_MS51_n0028345_R1.fastq.gz",265,1,"E",9,"z0195761",28345
"207","z0195763_Mnov_MS51_n0028346_R1.fastq.gz",383,1,"F",9,"z0195763",28346
"208","z0195766_Mnov_MS51_n0028347_R1.fastq.gz",836,1,"G",9,"z0195766",28347
"209","z0195769_Mnov_MS51_n0028348_R1.fastq.gz",510,1,"H",9,"z0195769",28348
"210","z0195769_Mnov_MS51_n0028371_R1.fastq.gz",2967,1,"G",12,"z0195769",28371
"211","z0195770_Mnov_MS51_n0028349_R1.fastq.gz",1798,1,"A",10,"z0195770",28349
"212","z0195771_Mnov_MS51_n0028350_R1.fastq.gz",6406,1,"B",10,"z0195771",28350
"213","z0195772_Mnov_MS51_n0028351_R1.fastq.gz",8252,1,"C",10,"z0195772",28351
"214","z0195773_Mnov_MS51_n0028352_R1.fastq.gz",5082,1,"D",10,"z0195773",28352
"215","z0195775_Mnov_MS51_n0028353_R1.fastq.gz",2395,1,"E",10,"z0195775",28353
"216","z0195776_Mnov_MS51_n0028354_R1.fastq.gz",4771,1,"F",10,"z0195776",28354
"217","z0195777_Mnov_MS51_n0028355_R1.fastq.gz",3310,1,"G",10,"z0195777",28355
"218","z0195778_Mnov_MS51_n0028356_R1.fastq.gz",3020,1,"H",10,"z0195778",28356
"219","z0195779_Mnov_MS51_n0028357_R1.fastq.gz",2483,1,"A",11,"z0195779",28357
"220","z0195779_Mnov_MS51_n0028372_R1.fastq.gz",5905,1,"H",12,"z0195779",28372
"221","z0195780_Mnov_MS51_n0028358_R1.fastq.gz",6014,1,"B",11,"z0195780",28358
"222","z0195781_Mnov_MS51_n0028359_R1.fastq.gz",6401,1,"C",11,"z0195781",28359
"223","z0195782_Mnov_MS51_n0028360_R1.fastq.gz",10324,1,"D",11,"z0195782",28360
"224","z0195786_Mnov_MS51_n0028361_R1.fastq.gz",1155,1,"E",11,"z0195786",28361
"225","z0195787_Mnov_MS51_n0028362_R1.fastq.gz",5345,1,"F",11,"z0195787",28362
"226","z0195791_Mnov_MS51_n0028363_R1.fastq.gz",216,1,"G",11,"z0195791",28363
"227","z0196707_Mnov_MS51_n0028373_R1.fastq.gz",97269,2,"A",1,"z0196707",28373
"228","z0196708_Mnov_MS51_n0028374_R1.fastq.gz",41112,2,"B",1,"z0196708",28374
"229","z0196709_Mnov_MS51_n0028375_R1.fastq.gz",85420,2,"C",1,"z0196709",28375
"230","z0196714_Mnov_MS51_n0028376_R1.fastq.gz",135042,2,"D",1,"z0196714",28376
"231","z0196718_Mnov_MS51_n0028377_R1.fastq.gz",146675,2,"E",1,"z0196718",28377
"232","z0196721_Mnov_MS51_n0028378_R1.fastq.gz",46215,2,"F",1,"z0196721",28378
"233","z0196722_Mnov_MS51_n0028379_R1.fastq.gz",96966,2,"G",1,"z0196722",28379
"234","z0196723_Mnov_MS51_n0028380_R1.fastq.gz",10100,2,"H",1,"z0196723",28380
"235","z0196726_Mnov_MS51_n0028381_R1.fastq.gz",92484,2,"A",2,"z0196726",28381
"236","z0196727_Mnov_MS51_n0028382_R1.fastq.gz",89784,2,"B",2,"z0196727",28382
"237","z0196728_Mnov_MS51_n0028383_R1.fastq.gz",100655,2,"C",2,"z0196728",28383
"238","z0196728_Mnov_MS51_n0028460_R1.fastq.gz",62254,2,"H",11,"z0196728",28460
"239","z0196730_Mnov_MS51_n0028540_R1.fastq.gz",77891,3,"H",9,"z0196730",28540
"240","z0196732_Mnov_MS51_n0028384_R1.fastq.gz",133934,2,"D",2,"z0196732",28384
"241","z0196733_Mnov_MS51_n0028541_R1.fastq.gz",17748,3,"A",10,"z0196733",28541
"242","z0196736_Mnov_MS51_n0028542_R1.fastq.gz",82716,3,"B",10,"z0196736",28542
"243","z0196736_Mnov_MS51_n0028563_R1.fastq.gz",71689,3,"G",12,"z0196736",28563
"244","z0196737_Mnov_MS51_n0028385_R1.fastq.gz",102653,2,"E",2,"z0196737",28385
"245","z0196738_Mnov_MS51_n0028386_R1.fastq.gz",25640,2,"F",2,"z0196738",28386
"246","z0196741_Mnov_MS51_n0028387_R1.fastq.gz",50948,2,"G",2,"z0196741",28387
"247","z0196742_Mnov_MS51_n0028388_R1.fastq.gz",247784,2,"H",2,"z0196742",28388
"248","z0196743_Mnov_MS51_n0028389_R1.fastq.gz",78268,2,"A",3,"z0196743",28389
"249","z0196744_Mnov_MS51_n0028390_R1.fastq.gz",101179,2,"B",3,"z0196744",28390
"250","z0196746_Mnov_MS51_n0028543_R1.fastq.gz",104606,3,"C",10,"z0196746",28543
"251","z0196747_Mnov_MS51_n0028391_R1.fastq.gz",106563,2,"C",3,"z0196747",28391
"252","z0196748_Mnov_MS51_n0028392_R1.fastq.gz",118159,2,"D",3,"z0196748",28392
"253","z0196749_Mnov_MS51_n0028393_R1.fastq.gz",116818,2,"E",3,"z0196749",28393
"254","z0196750_Mnov_MS51_n0028394_R1.fastq.gz",97977,2,"F",3,"z0196750",28394
"255","z0196753_Mnov_MS51_n0028600_R1.fastq.gz",71230,8,"D",5,"z0196753",28600
"256","z0196755_Mnov_MS51_n0028395_R1.fastq.gz",79347,2,"G",3,"z0196755",28395
"257","z0196755_Mnov_MS51_n0028461_R1.fastq.gz",24473,2,"A",12,"z0196755",28461
"258","z0196756_Mnov_MS51_n0028396_R1.fastq.gz",113873,2,"H",3,"z0196756",28396
"259","z0196757_Mnov_MS51_n0028397_R1.fastq.gz",79919,2,"A",4,"z0196757",28397
"260","z0196758_Mnov_MS51_n0028544_R1.fastq.gz",70664,3,"D",10,"z0196758",28544
"261","z0196759_Mnov_MS51_n0028398_R1.fastq.gz",69993,2,"B",4,"z0196759",28398
"262","z0196760_Mnov_MS51_n0028601_R1.fastq.gz",84471,8,"E",5,"z0196760",28601
"263","z0196761_Mnov_MS51_n0028399_R1.fastq.gz",90667,2,"C",4,"z0196761",28399
"264","z0196762_Mnov_MS51_n0028400_R1.fastq.gz",77439,2,"D",4,"z0196762",28400
"265","z0196762_Mnov_MS51_n0028462_R1.fastq.gz",27236,2,"B",12,"z0196762",28462
"266","z0196765_Mnov_MS51_n0028401_R1.fastq.gz",95937,2,"E",4,"z0196765",28401
"267","z0196767_Mnov_MS51_n0028402_R1.fastq.gz",80722,2,"F",4,"z0196767",28402
"268","z0196768_Mnov_MS51_n0028403_R1.fastq.gz",91780,2,"G",4,"z0196768",28403
"269","z0196770_Mnov_MS51_n0028404_R1.fastq.gz",56055,2,"H",4,"z0196770",28404
"270","z0196772_Mnov_MS51_n0028405_R1.fastq.gz",77080,2,"A",5,"z0196772",28405
"271","z0196773_Mnov_MS51_n0028406_R1.fastq.gz",83956,2,"B",5,"z0196773",28406
"272","z0196775_Mnov_MS51_n0028407_R1.fastq.gz",83317,2,"C",5,"z0196775",28407
"273","z0196777_Mnov_MS51_n0028408_R1.fastq.gz",104119,2,"D",5,"z0196777",28408
